"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96759757507017","5.28345660398283","6.08796493020769","8.48175836103604","9.16975191915408","8.91679399595736","7.70780060287773","7.12277329020889","6.88210294277301","7.58538233129798","8.84261615837187","9.25046804855966","","","",
"Angola","AGO","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2939716615223","28.7033821587261","29.2466757235017","15.5328118307446","17.1715799050331","18.0745661578982","17.1091178120826","23.385169992983","21.499160563566","25.6501497407251","18.3610800814702","16.5999463532431","16.1034126819228","14.8227193155102","14.184763136916","13.5426301621262","11.0020191367023","9.73251223441606","9.22377745371825","","","",
"Albania","ALB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6007883019966","8.86171524611875","9.90482978245117","14.568928581516","","","","16.4842349789786","17.1961499195146","17.9650868213491","","","","","","","18.0220121712647","17.4832338190971","16.5032748907978","18.3019409890441","18.5157960517393","17.5902283762095","18.8874860107451","18.5574753953261","","",
"Andorra","AND","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.15721335114717","6.09777734169252","","5.14611050026221","5.31446508263874","","","","","",
"United Arab Emirates","ARE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.992336343973077","1.07587239217888","1.1224470054107","","","","","","","","","","","","0.321413865338428","0.36378633951547","0.370450571659908","0.355723150336942","0.0577340241915802","0.0434947005242334","0.0664571906833831","0.0593102813299132","","",
"Argentina","ARG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.83851314669697","5.00823654744009","5.54792213441138","8.01513800555669","8.12643722809198","8.05435765172309","8.17178777492906","8.69008635554994","9.03052618638845","9.07612433559182","9.62260350188905","9.32489879390056","9.81895834666325","12.5187797002949","13.1007798994386","13.1031756459852","12.8788866954319","12.4482684483004","13.3178463574032","12.3830415594157","12.8530426903256","12.6636277012315","12.9528415127413","12.4529027558077","12.6109666067191","12.3365069418291","12.0972836411962","10.9555014904363","10.0874993053757","","",
"Armenia","ARM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9964056466186","14.3356634088462","14.3959865593942","15.962531729107","17.3217587321083","16.5058632327843","17.0700513990102","17.2194190490991","17.4916420766113","21.5862138752919","21.5991745525223","20.931220827141","21.2773752756378","20.7806533587524","20.8701039031814","","",
"American Samoa","ASM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","17.8670982825286","17.0442438740025","18.0846827714362","19.9021894938025","20.328231251652","20.5622749130878","20.4329053841535","19.7972796343613","20.4414423126995","21.493078834247","21.6161581650666","21.7443710779934","21.0434065367564","22.543537102293","22.6098985551798","23.2646618225601","23.1785482725617","22.6900587977613","22.4768790778869","22.3744082918756","20.6810434617934","20.0182683416405","20.0445725990162","21.2143147440084","21.9291545283444","22.4309416143968","22.2720061486455","22.4752112825954","23.0768998077618","24.9402183625363","23.6166114022748","24.365136835797","24.3441934685885","24.8369690720979","24.5893841012414","24.0931056982697","24.2553169802763","22.0436537065179","20.5269552747402","20.3503122216089","21.1170969777079","21.9581112368817","21.9088787823813","21.865491896164","22.2344726424899","22.0317561479837","23.0982009643869","23.3987898806828","",
"Austria","AUT","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","17.888785545061","18.1969508473203","18.3973409930983","18.0109254054139","17.8623323843713","17.9992930878546","18.7775498563958","18.5501164112901","18.5780047045143","18.94982574072","18.1904204583364","18.0325887657024","18.9640774355352","18.1037840600629","17.9723367089122","17.720084109956","18.5628007757016","17.8057518142916","17.9810832815335","18.1671785806239","18.9204805390378","18.935455757724","18.3455730614349","24.6001061668802","25.9400360072768","26.7977121693633","26.8898454625725","26.6278222019285","26.225079875854","27.9655719884559","26.9755003214763","26.6469699320882","26.3086724864457","25.5139554642579","25.0504425566822","25.3919943156154","26.0775197165623","25.2251652368968","25.2816355062362","25.4279852755305","25.92819764092","26.4151730942712","26.4178983110922","26.8261674155428","25.4410981749747","25.3552369771872","25.4055474663294","","",
"Azerbaijan","AZE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5591673338671","17.9540725466304","9.85045743980092","10.693809961055","12.6793349997094","12.7334587163254","","","","","","","","","16.4211753684861","14.1067089869809","12.1577769928176","12.2247609538804","12.7786393685483","13.3883331614589","14.2125356482603","15.6031629275469","14.5555165725558","13.1640455061148","12.9712717874444","","",
"Burundi","BDI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","10.3469088609778","10.6769157211424","8.85599061313257","11.3689251104055","13.4785767337281","14.9653224763885","14.0944867354778","13.0050715550755","11.6093480190153","","","","","","","","","","15.142662979358","15.1227839627811","14.9289163092236","15.6160547727238","16.6782065784591","13.4389965792474","11.4203617269545","14.3476586706647","13.5974418093983","","","","","","","","","","","","","","","","","","","","","",
